,0
178,"kalimat beritanya bukan kutipan langsung, kayanya kesimpulan media sendiri, kok masih yakin ET ya yg di naikan"
179,najis
180,Siap Kalah lagi Pak Prabowo
181,Durung wayahe aja dipeksa
182,"Mantapp.. Ini baru seruu , adu ide dan gagasan 🔥🔥"
183,PRABOWO_GIBRAN>>>>PRABU🔥🔥🔥
184,Kalh jilid 4
185,"Hidup lagi capek""nya eh malah dikatain suami😣 btw Ada gak sih yg tau solusinya biar punya pyd bagus ☹️ capek banget dikatain suami mulu😣"
186,Eaalaaah masss . Sudah siap head to head sama prof machfud??
187,Anjay beneran 😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱
188,"SEMOGA INI BUKAN AWAL DARI KRISIS MONETER DAN KESEMPATAN MENCARI HARTA HARAM. YG MEMBUAT RAKYAT BLUNDER DENGAN SANDANG PANGAN YG PERNAH DI PIMPIN PAK JOKOWI. INGAT HARKAT MARTABAT RAKYAT DI ATAS SEGALANYA, JANGAN UTAMAKAN INVESTOR CINA YG MENDAPAT KE UNTUNGAN BESAR DI BANDING HARGA PANGAN RAKYAT YG GAK MASUK AKAL."
189,Seruuu wkwkwkwkwkwk
190,Gibran ke ketua mk : maaci pamann
191,produk gila kuasa banget si bocil
192,Oooo kasiaan itu jokowi kalo gada sayaa🤓2024 banteng nyebur jurang
193,"Kasian buntu, kayak ga ada yg kompeten kadernya, kemana RK, kemana AHY, kagak ada yang lain aja"
194,PAGI (Prabowo - Gibran) gitu kah?
195,Hatrick prabowo
196,Gak bakal menang..
197,"Silahkan borong semua partai, semua relawan, semua anggota keluarga jokowi, kata sby"" for you, i say NO !"
198,Yakin nih dengan pengalaman jadi walkot selama 3 tahun bakal mimpin negara besar Indonesia ?
199,Aduh 😞
200,Puncak komedi
201,parahhhh
202,"Nah gitu dong, jangan malu malu kucing, Terima kasih paman😂"
203,gibran lain teh ucum @kullsuum
204,Hokage ke 8 Shikamaru dan wakilnya Konohamaru
205,"Yg katanya lulusan strategi perang, haduuuh"
206,"Terserah rakyat yang memilih😂🤣tetap pilih yg paling berpengalaman di birokrasi dan legislasi, baik capres cawapres mmg baiknya Dwi tunggal,  rakyat SDH sgt cerdas memilih."
207,Tidak terkejut 🤣
208,"ANAK KESAYANGAN NEGARA NIH BOSSS, UPSS"
209,Fix coblos sebelah
210,"Ni org udh dikasih jadi walikota masih mau lebih, emg dasarnya gk punya malu"
