index,comments
152,"siapapun presidennya itu sudah di takdikan Allah, jika Allah berkehendak meski bagaimapun ttep akan jadi. bismillah semangat bapak prabowo dan mas gibran 🔥🔥🔥"
153,"izin unfollow, ya pak🙌"
154,bismillah semangat pak ketua✌️
155,😍😍😍😍😍😍😍😍😍😍😍😍maju
156,"Bismillah pak, semangat bapak. Kami padamu. All in Prabowo 🔥"
157,Bismillah ya pak ❤️
158,PAS HARI ULANG TAHUN SAYA PAK HARI INI DAN HARI INI SAYA MASIH DENGAN SUARA SAYA YANG DULU. PRABOWO SAMPAI JADI PRESIDEN RI 😅👊🏻👊🏻👊🏻
159,all in prabowo-gibran🔥
160,Bismilah pak @prabowo & mas @gibran_rakabuming  MENANG Presiden 2024 🔥🔥👏
161,All in prabowo. 🔥
162,Bismillah satu putaran menang telak aminnnnn
163,❤️❤️ tetep dukung bapak prabowo
164,Gak tau dari awal nyalon Pokoknya tetap PRABOWO 🔥
165,INTINYA PAK PRABOWO PRESIDEN KITA 2024 aamiin 😍 bangga banget punya presiden seperti beliau 🥰
166,AKU PADAMU PAKKKK DAN MAS 😍😍😍😍😍
167,Semangat Pak👏👏🙌🙌
168,🇲🇨🇲🇨🇲🇨
169,Bismillah 🙏😇
170,Bismillah... semoga menang pak @prabowo & mas @gibran_rakabuming
171,🔥🔥🔥
172,SEMANGAT PAK❤️❤️
173,All in Prabowo 🔥
174,All in prabowo🔥
175,🔥🔥
176,"Namaku adalah #gibran jangan panggil aku anak kecil paman🤭🤪
ALL IN PRABOWO - GIBRAN🔥"
177,SEHAT” YA PAKK ALL IN BAPAK POKOKNYA❤️
178,❤️❤️❤️
179,ALL IN BAPAKKKK🫶🏼🫶🏼🫶🏼🫶🏼
180,Bissmillah semoga 2024 🤲🏻 PRABOWO GIBRAN ❤️❤️❤️
181,Kakak @febriana_vera masihkah kita satu hati...🤩
182,❤️❤️❤️❤️
183,❣️
184,Gw dukung lo pak 🔥🔥
185,Bismillah bapa gemoy🔥❤️
