index,comments
181,"Bapak tolong buka lagi kasus Mirna yg menjadikan Jessica tersangka, tanpa bukti dia di penjara 20 tahun. Jessica juga masyarakat Indonesia pak."
182,Anti Buzzer nih deck🙏😆
183,Semoga Allah meridhoi dan memberikan amanah untuk bapak bisa menjadi presiden RI selanjutnya 🤲
184,Ada pak SBY ❤️
185,Inilah bapak yang akan membawa indonesia maju dari sd kelas 3 saya ingin bapak prabowo menang karena beliau tegas sebenarnya kita butuh presiden yg tegas tidak mau di injak injak salam 2 jari dari ujanmas dusun kecil yg ingin maju🙌🙌❤️😍
186,Pliss Pengen nanya serius ada yang tau cara ngecilin perut buncit sama ngilangin perut berlemak dan bergelambir kalau boleh tau gimana caranya?🙏😭
187,siap meneruskan kepemimpinan pakde jokowi
188,❤️❤️❤️❤️❤️❤️❤️
189,"Ada pak Yudhoyono juga itu, sudah masuk Koalisi Pak Prabowo Subianto juga jadi lebih Kuat koalisi nya Pak Prabowo sekarang"
190,😍
191,Suksesor Jokowi
192,prabowo indonesia 1
193,Sehat selalu pak bowo
194,prabowo the next president of republic indonesia
195,pak jokowi dan pak prabowo terlihat sangat tulus kepada rakyat
196,slide 9...🙏❤️❤️
197,Gerindra -prabowo Indonesia maju 🔥
198,"Mohon maaf pak ijin mengingatkan, segera ambil cuti ya pak mengingat pendaftaran capres-cawapres udh makin deket 😊"
199,ngab owo😻🌷
200,#2024PRABOWOPRESIDEN🇮🇩
201,Baru beberapa menit yg ngelike udah 200 rb an lebih
202,pak prabowo saatnya anda menaiki tahta kepemimpinan 2024 nanti
203,Prabowo adalah simbol kekuatan dan keberanian.
204,Kepemimpinan Prabowo adalah kekuatan utama Indonesia.
205,Prabowo adalah pemimpin yang mendukung kesejahteraan sosial.
206,Prabowo adalah pelindung bangsa yang setia.
207,Prabowo adalah sosok yang selalu berjuang untuk persatuan.
208,Prabowo adalah contoh nyata kepemimpinan yang kuat dan adil. 💪 #KepemimpinanKuat
209,Kemampuan Prabowo dalam menjaga kedaulatan sangat luar biasa. 🇮🇩 #KedaulatanIndonesia
210,Semangat juang Prabowo adalah kebanggaan kita semua.
211,Kemampuan Prabowo dalam menjaga kedaulatan sangat luar biasa. 🇮🇩 #KedaulatanIndonesia
212,Prabowo adalah teladan dalam memimpin dengan hati.
213,Pemimpin yang selalu berdiri tegak di hadapan tantangan.
214,Keberanian Prabowo adalah aset berharga bagi Indonesia.
215,Setiap tindakan Prabowo adalah untuk kebaikan dan kemakmuran rakyat. 💰 #KemakmuranRakyat
216,Prabowo adalah panutan dalam membangun pertahanan negara.
217,Negarawan
218,Prabowo adalah pemimpin yang selalu mendukung keadilan.
219,Prabowo adalah pemimpin yang mendukung kesejahteraan masyarakat.
220,Prabowo selalu siap membela bangsa ini.
221,"bukan tentang Prabowo, tetapi tentang rakyat Indonesia saatnya harus mulai tegap, semangat, bangkit dengan patriotisme. Nggak kebayang apa perang udah berkecamuk di mana2 saatnya kita bersiap-siap menghadapi naifnya zaman."
222,Prabowo adalah pemimpin yang membawa harapan.
223,BapakPRABOWO kharismanya tambah hari tambah keluar  seperti PRESIDEN
224,Pemimpin yang selalu memberikan yang terbaik untuk rakyat. 🌟 #MemberikanYangTerbaik
225,"Pemimpin yang selalu berdiri tegak di hadapan tantangan, siap menghadapinya. 💪 #HadapiTantangan"
226,Sosok yang selalu setia dan berdedikasi untuk kebaikan rakyatnya.
227,Prabowo adalah panutan dalam menjaga kehormatan dan integritas negara. 🌟 #IntegritasBangsa
228,Kemampuan Prabowo dalam menjaga kedaulatan tidak bisa diragukan lagi. 🇮🇩 #KedaulatanBangsa
229,Keberanian Prabowo menginspirasi generasi muda.
230,Pemimpin yang selalu komitmen pada kemajuan bangsa. 🚀 #KemajuanBangsaYangKuat
231,Prabowo adalah sosok yang berjuang tanpa kenal lelah untuk Indonesia.
232,Pemimpin yang selalu memahami kebutuhan rakyat.
233,"Bismillah pakk,rubah negri ini🔥"
234,Prabowo adalah panutan bagi generasi muda Indonesia.
235,Prabowo adalah pemimpin yang berkomitmen pada kesejahteraan rakyat.
236,Prabowo adalah garda terdepan dalam pembangunan bangsa.
237,Prabowo adalah prajurit yang menjaga kehormatan bangsa.
238,Assalamualaikum great LEADER RELIGIOUS (hafidz understood 4 kitab + 1 hadist Allah) SMART (prof and had world WIPO) STRONGER Combaters and ARMY technology ICONIC (handsome + great attitude + healthy) karya saya April 2019 yg terus disempurnakan ditengah segala blokade Allah law and human genetic based on taurat Zabur Injil Al quran hadist all istijhad yg selamat combining SVD + SAUDIA (ACEH + PAPUA) SVD yg pelihara taurat Zabur Injil ACEH pelihara syariat Islam Indonesia Al quran dan hadist (ALLAH GIVERMENT ON EARTH) ini saya Farah Diba Setiana Widiastutik granddoughter suudi Saudi rosalyn Skandinavia Javanesse wassalamu'alaikum
239,Prabowo adalah panutan dalam membangun pertahanan negara. 🛡️ #PertahananNegara
240,Keberhasilan Prabowo dalam menjaga kedaulatan bangsa patut diapresiasi.
241,Prabowo adalah pelindung kehormatan bangsa.
242,Pemimpin yang selalu menjunjung tinggi nilai-nilai kebangsaan dan kejujuran. 🇮🇩 #NilaiKebangsaan
243,Prabowo adalah panutan dalam mempertahankan kedaulatan Indonesia. 🛡️ #KedaulatanIndonesia
244,Pemimpin yang selalu mendahulukan kepentingan bangsa di atas segalanya. 🇮🇩 #KepentinganBangsa
245,Kepemimpinan Prabowo adalah berkah bagi bangsa.
246,Presiden!
247,Pemimpin yang selalu mendengarkan aspirasi rakyatnya.
248,"Prabowo, prajurit yang tulus mencintai tanah air."
249,Prabowo adalah panutan dalam membangun pertahanan negara.
250,Prabowo adalah panutan dalam membangun pertahanan negara. 🛡️ #PertahananBangsa
251,Prestasi Prabowo dalam membangun pertahanan negara patut diacungi jempol. 👏 #PertahananNegara
252,Kepemimpinan Prabowo adalah kekuatan utama untuk Indonesia maju. 🚀 #IndonesiaMaju
253,Prabowo adalah pilar pertahanan negara kita.
254,Bangsa ini bersyukur memiliki Prabowo sebagai pemimpin yang berani. 🙌 #BanggaIndonesia
255,Sehat selalu Bapak Prabowo🇮🇩😇🙏
256,Keberhasilan Prabowo adalah kisah sukses yang menginspirasi.
257,Prabowo❤️❤️❤️
258,Prabowo selalu berjuang untuk keadilan sosial.
259,Prabowo adalah pahlawan modern Indonesia.
260,Prabowo adalah panutan bagi pemuda-pemudi Indonesia.
261,Prabowo adalah pemimpin yang memperjuangkan persamaan hak.
262,Prabowo adalah simbol kesetiaan kepada NKRI.
263,Prabowo adalah sosok yang tak pernah lelah dalam berjuang.
264,Semangat dan dedikasi Prabowo patut diacungi jempol. 👍 #DedikasiTinggi
265,❤️
266,"Tetap pak anis pilihan terbaik, salam dri kalbar,kab.sambas"
267,Pemimpin yang selalu berjuang untuk kesejahteraan rakyat.
268,"Prajurit sejati selalu bersama rakyatnya, seperti Prabowo."
269,Kita beruntung memiliki Prabowo sebagai pemimpin kita.
270,Prabowo adalah teladan dalam memimpin dengan hati dan integritas. ❤️ #HatiDanIntegritas
271,Sehat selalu❤️🇮🇩🇮🇩
272,🔥
273,❤️
274,DIRGAHAYU TNI KE - 78 PENGAWAL DEMOKRASI UNTUK INDONESIA MAJU
275,"Mantap Bapakku maju terus bersama bapakku Prabowo Subianto jika ada orang menghina bapakku jogedin aja jangan di ambil hati enggak penting bales dengan senyuman, berarti orang tersebut telah menghina Indonesia pula,
Bapakku Prabowo Subianto ibu Pertiwi Indonesia Raya Bhinneka tunggal ika kudu jadi Presiden🇲🇨
THE NEXT PRESIDEN INDONESIA PRABOWO SUBIANTO 2024 wayahna kudu jadi Bapakku Prabowo Subianto Presiden Sehat selalu Bapakku Prabowo Subianto 17 Oktober 1951 
Salam Indonesia Raya!"
276,Prabowo adalah pemimpin yang memperjuangkan persamaan hak.
277,Ia adalah pemimpin yang peduli pada kepentingan rakyat.
278,Dirgahayu tni 🙌❤️🇮🇩
279,Prabowo selalu setia kepada ideologi Pancasila.
280,Keberanian Prabowo adalah aset berharga bagi Indonesia.
281,Pemimpin yang selalu berkomitmen pada kemajuan bangsa.
282,❤️🇮🇩🇮🇩👍
283,Prabowo adalah pahlawan yang selalu berjuang.
284,Prabowo selalu menjadi harapan dan inspirasi bagi banyak orang. 💫 #HarapanDanInspirasiYangKuat
285,"Wakilnya jangan pak erick ya pak,dia fokus bumn & pssi , bapak sama pak airlangga aja yg gak terlalu sibuk bgt 🙏🙏"
286,Kepemimpinan Prabowo adalah anugerah bagi bangsa. 🎁 #AnugerahBagiBangsa
287,"Selagi bapak masih mencalonkan presiden, saya akan dukung  sampai menjadi presiden R1, 2014 coblos prabowo, 2019 coblos prabowo dan kali ini tetap yang sama 2024 all in prabowo subianto🔥🔥🔥❤️😎🤲🙏👊✊🤜🤛💪"
288,Keberhasilan Prabowo dalam mempertahankan bangsa adalah inspirasi bagi kita semua. 💪 #IndonesiaBangkit
289,Pak Prabowo 2024 berjaya
290,Prabowo adalah prajurit yang tak kenal lelah.
291,Pemimpin yang selalu memberikan yang terbaik untuk rakyat.
292,PRESIDEN KE 7 DAN NEXT KE 8
293,2024 fix bgtsih ini mah Presiden
294,Nempel terus....😂😂
295,Pak H. Prabowo Subianto Presiden RI 2024 🇮🇩 Aamiin YRA🤲🤲🤲
296,Prabowo adalah pemimpin yang berkomitmen pada kesejahteraan rakyat.
297,Prabowo adalah prajurit yang tak kenal lelah dalam melindungi negara. 💂‍♂️ #PrajuritYangTakKenalLelah
298,Mantap prabowo presiden 2024
299,👏
300,Bangsa ini berhutang budi pada prajurit seperti Prabowo.
301,Indonesia membutuhkan pemimpin seperti Prabowo.
302,Prahara Prabowo selalu siap menjaga kedaulatan Indonesia. 💥 #PahlawanBangsa
303,Keberhasilan Prabowo adalah cerita sukses yang menginspirasi banyak generasi. 📖 #CeritaSukses
304,Keberhasilan Prabowo adalah cerminan dari semangat prajurit.
305,Prabowo memimpin dengan integritas dan kebijaksanaan. 🌟 #IntegritasPemimpin
306,Keberhasilan Prabowo adalah cerita sukses Indonesia.
307,"Umur udah 35 , gk pernah se x pun aku ikut nyoblos untuk pemilihan  president sama se x, tapi nanti 2024 aku pingin ikut nyoblos untuk pertama x nya, dan saya akan pilih bapak @prabowo .kalau nanti bapak prabowo kepilih jadi president RI  bapak bisa janji sama saya untuk membenahi jalan di desa saya? Tepat nya di desa  KARANGREJA KECAMATAN KAWUNGANTEN KABUPATEN CILACAP JAWA TENGAH.jalan di desa saya rusak parah bapak.Saya doa kan bapak selalu sehat dan senantiasa selalu dalam lindungan allah swt.Aamiin"
308,"Mungkin @prabowo sdh tau kecurangan pemilu 2014 dan 2019 yang memenangkan jkw..beliau mengagumi betapa hebat dan canggihnya kecurangan pilpres hingga mampu dg mudah memenangakn jkw, dan skrg dalam benaknya hanya jkw lah yang mampu memenangkan pilpres, dengan kecurangan sekalipun, shg jalan itulah yg hendak ditempuh @prabowo , baginya suara rakyat gak penting ! Krn ujung2nya dicurangin ! Begitulah dlm benaknya...padahal yg menjadikan seseorang jd presiden atau tidak adalah sekenario Allah, dia mungkin lupa..."
309,Yang lain sibuk kampanye yang ini sibuk hadiri acara kenegaraan #prabowopresiden
310,Prabowo adalah penjaga kedaulatan negara ini.
311,ANIES BASWEDAN PRESIDEN
312,Ia adalah prajurit yang tulus mencintai tanah air.
313,Bangsa ini berhutang kepada Prabowo atas dedikasinya.
314,Anis dan Ganjar sing janji palsu minggir Wayae wong sing setia Karo NKRI tampil #prabowopresiden🇮🇩🇮🇩🇮🇩 👍🏻
315,Sehat² ya pak... Indonesia butuh bapak❤️
316,Pemimpin yang selalu hadir dalam setiap momen penting untuk Indonesia. 🇮🇩 #MomenPenting
317,Pemimpin yang selalu komitmen pada kemajuan bangsa. 🚀 #KemajuanBangsaYangKuat
318,Prabowo adalah sosok yang selalu berpikir jauh ke depan.
319,Prabowo adalah panutan dalam membangun pertahanan negara. 🛡️ #PertahananNegaraYangKuat
320,"Kita bisa percaya kepada Prabowo dalam situasi sulit, ia adalah pemimpin yang handal. 🤝 #PemimpinHandal"
321,Prabowo adalah prajurit yang tangguh dan gigih.
322,Pemimpin yang selalu memberikan yang terbaik untuk rakyat.
323,Prabowo adalah pemimpin yang memperjuangkan persamaan hak.
324,Kepemimpinan Prabowo adalah kekuatan utama bagi Indonesia maju. 🚀 #IndonesiaYangMaju
325,Semangat pejuang selalu membakar dalam diri Prabowo.
326,Presiden & Nex Presiden Indonesia Raya 🤝🇮🇩🤝
327,Anis Baswedan saja cukup
328,Ya dari pada Ganjar lebih baik Prabowo  tapi  Anis lebih  baik dari keduanya😮
329,Prabowo adalah sosok yang selalu bersatu dengan rakyat.
330,Prabowo adalah pemimpin yang berfokus pada pengembangan daerah.
331,Pak kamu gemoy banget 😍
332,Prabowo adalah simbol kesetiaan kepada NKRI.
333,Prabowo adalah simbol kekuatan dan tekad.
334,"Prabowo memimpin dengan teladan, menjunjung tinggi semangat kebangsaan. 🇮🇩 #SemangatBangsa"
335,Bapak prabowo adalah orang paling iklas mengabdi untuk negara ini🥳🥳🥳
336,Bangga memiliki Prabowo sebagai pemimpin yang berdedikasi untuk kemajuan Indonesia. 🙌 #PemimpinIndonesia
337,Bapakprabowopresidenindonesiaselamalamanya
338,Pak mau nanya ada loker ga ?
339,"Kita bisa percaya kepada Prabowo dalam situasi sulit, ia adalah pemimpin yang handal. 🤝 #PemimpinYangHandal"
340,"isinya beli beli beli doang ni menhan, dijewer lewat pidato kan"
341,"Teruslah memimpin dengan hati dan integritas, Pak Prabowo"
342,Semangat juang Prabowo tak pernah pudar.
343,Prabowo selalu siap berjuang untuk rakyat Indonesia.
344,mantappp
345,presiden prabowo
346,alll in prabowo
347,❤️
348,Pliss Pengen nanya serius ada yang tau cara ngecilin perut buncit sama ngilangin perut berlemak dan bergelambir kalau boleh tau gimana caranya?🙏😭
349,prabowo subianto number one
350,Foto yang sangat bagus! 😍
351,prabowo subianto terbaik
352,prabowo subianto terbaik
353,Sll bisa menghargai org lain luarrr biasa hati beliau seluas samudera next PRESIDEN RI 2024❤️❤️❤️❤️
354,prabowo subianto terbaik
355,Pak prabowo awas kena prank lagi sama wiwi.. Dia tu  sangat mahir ngeprank..😂
356,Selalu di hati❤️ jenderal
357,pak jokowi kode keras pak prabowo siap menjadi RI 1
358,sangat luar biasa dua tokoh politik ini
359,"kemesraan ini janganlah cepat berlalu , pak jokowi kode keras yang akan meneruskan perjuangan nya adalah pak prabowo"
360,prabowo presiden
361,🤙🤙
362,siap meneruskan kepemimpinan pakde jokowi
363,prabowo presiden
364,indonesia butuh nahkoda yang kuat dan tahan banting seperti pak prabowo
365,siap menjadi RI 1 pak prabowo
