,comments
112,❤️❤️❤️ GANJAR MAHFUD ❤️❤️❤️
113,Prabowo gibran 1 putaran 🔥🔥🔥
114,Klo dari pribadi. Ganjar yang paling cocok.
115,Aamin
116,"Siapapun yg menang sudah ditakdirkan jadi presiden. Kalah harus legowo, menang jgn sombong . dirangkul kerja sama menjadi Indonesia maju. Dibawah tolong jgn saling menghujat sana sini, percuma saja anda2 ttp saja cari sandang, papan,pangan sendiri. Mengidolakan capres sah2 saja,"
117,"Apapun pilihannya, tetap Ganjar Pranowo presidennya 😍"
118,Banteng mulai kepanasan.
119,EH BANG TOYIB SALAH BERGAUL KAMU KAYAKNYA. TAPI SUDAHLAH KAMUKAN KONGLOMERAT JADI SAYA NEGRTI😂😂😂
120,"Kalau mkmk membatalkan no 90,apakah jadi cawapres alternatif?"
121,All in prabowo🔥
122,YA DIJADIIN KETUA TIM PEMENANGAN LG PAKKKK PRABOWO
123,Yesss all in prabowo😍😍😍❤️
124,😂😂
125,Mantap. Maju terus Prabowo-Gibran. Dukungan dari Pak Erick Thohir sangat baik dan berharga.
126,"ngomongnya untuk indonesia yg lebih besar, tapi aslinya buat cuan yang lebih besar wkwk, masi inget kata2 usaha saya mandek grgr gk berkuasa 20th? ya itu tujuan mereka, nyari cuan bareng"
127,"Tanpa mengurangi rasa hormat utk yg lain, KAMI TETAP DG AMIN. BISMILLAH, 2024, ANIES RI 1, CAK IMIN RI 2. Aamiin."
128,Nangis karena Pak Erick bukan anak presiden dan Pamannya bukan ketua MK
129,"""Saya ingin menjadi bagian untuk Indonesia..."" tapi sayangnya gabisa karena kalah sama bocil kematian hasil ngakalin konstitusi negara 🤣"
130,Erick Thohir org yg cerdas aja pilih Prabowo
131,"itu yg di atas kertas, yg di bawah meja pasti titip pesen 'gue jgn disuru nombok banyak2 yee pakk'"
132,Indonesia ke depan hijau
133,Wajah2 pragmatis
134,Semakin kesini orang2 akan tau siapa Prabowo sebenarnya...mari bergandengan tangan untuk Prabowo vs Gibran menuju presiden...2024...sy cmn mau blg Prabowo terbaik
