slang,formal
ama,sama
amohhh,kamu
maau,mau
eyke,aku
gilakkkkk,gila
awk,awak
duhhhhh,duh
wowww,wow
kerennn,keren
kaka,kakak
liaatt,lihat
iniiiii,ini
aloh,allah
bnget,banget
ngettt,banget
bangeett,banget
bgt,banget
mirippp,mirip
mukax,mukanya
"sama""",sama-sama
mba,mbak
msh,masih
aja,saja
kyak,kayak
maso,masa
dpn,depan
ngeliatnya,melihatnya
skli,sekali
kk,kakak
kk,kakak
gk,tidak
brubah,berubah
udah,sudah
y,ya
pelastik,plastik
keak,kayak
y,ya
bg,bang
dengerin,dengarkan
liatnya,lihatnya
beud,banget
pahamin,pahami
cntk,cantik
makasih,terima kasih
emg,memang
gitu,begitu
lg,lagi
aja,saja
liatnya,lihatnya
ky,kaya
gini,begini
yah,ya
takuuuuut,takut
ahahahanjirrr,anjir
dasyat,dahsyat
jogetin,berjoget
shaay,say
boker,berak
boker,berak
gk,tidak
yg,yang
lbih,lebih
ga,tidak
nyangka,menyangka
beneran,benaran
hub,hubungi
gitu,begitu
gk,tidak
nyambung,menyambung
pacarnyaa,pacarnya
siapaa,siapa
inii,ini
matii,mati
ketawaa,ketawa
klo,kalo
nda,indak
nda,indak
d,di
sdh,sudah
makasih,terima kasih
njir,anjir
ngakak,mengakak
taekk,tahi
wanjiir,anjir
ni,ini
dmna,dimana
mw,mau
jg,juga
trus,terus
bw,bawa
pengen,pengin
dh,deh
pingin,pengin
jgn,jangan
mauuuuu,mau
minta,meminta
mauuu,mau
leh,boleh
bnran,benaran
tp,tapi
g,tidak
kk,kakak
kk,kakak
y,ya
smua,semua
kk,kakak
tu,itu
sgla,segala
uitnya,duitnya
k,kak
kmrn,kemarin
beliiin,belikan
yaaah,ya
macem2,macam-macam
lucuuuu,lucu
beliin,belikan
sm,sama
yg,yang
tetep,tetap
emang,memang
emang,memang
sampe,sampai
ga,tidak
nyangka,menyangka
sekaeang,sekarang
udah,sudah
buktiin,membuktikan
yg,yang
ngebuktiin,membuktikan
bgt,banget
liat,lihat
kyk,kayak
gini,begini
itungan,hitungan
aja,saja
tgk,tengok
mo,mau
tgk,tengok
gak,tidak
nyangka,menyangka
kageet,kaget
makasi,terima kasih
say,sayang
sma,sama
ga,tidak
ilang2,hilang-hilang
bkn,bikin
ga,tidak
jga,juga
bgt,banget
yu,yuk
tanyain,tanyakan
mslh,masalah
kmi,kami
kepoin,kepoi
ga,tidak
nyoba,mencoba
wihh,wih
beneran,benaran
yah,ya
yu,yuk
aja,saja
aja,saja
hub,hubungi
yu,yuk
aja,saja
aja,saja
hub,hubungi
yu,yuk
aja,saja
aja,saja
hub,hubungi
bgt,banget
ga,tidak
yg,yang
"artis""",artis-artis
klu,kalo
jatuhnyaa,jatuhnya
kka,kakak
kk,kakak
gini,begini
gak,tidak
kerjaan,pekerjaan
tambahin,tambahkan
aja,saja
banyakin,membanyaki
udah,sudah
elo,lo
aja,saja
gak,tidak
emang,memang
nambah,bertambah
aja,saja
yg,yang
tipu2nya,tipu-tipunya
doaang,doang
yaa,ya
dech,deh
baget,banget
bat,banget
kk,kakak
gini,begini
ny,nya
gituan,begituan
lucuuu,lucu
tpii,tapi
ap,apa
bgt,banget
lucuu,lucu
kaj,kak
lcu,lucu
bngt,banget
ap,apa
tu,itu
ajah,saja
wahhhhhh,wah
bngt,banget
bingittzz,banget
kl,kalo
bgt,banget
lucuuu,lucu
lucuu,lucu
iiiiiiiii,ih
lucuuu,lucu
kaliiiiiii,kali
ihhh,ih
cantikkkk,cantik
cantikkkk,cantik
melebihin,melebihi
apaa,apa
pengen,pengin
pengen,pengin
gakpapa,tidak apa-apa
kalogak,kalo tidak
gak,tidak
kaka,kakak
donk,dong
ka,kak
kaka,kakak
kaaa,kak
sm2,sama-sama
km,kamu
bgt,banget
bgt,banget
akn,akan
ndukung,mendukung
pengen,pengin
gk,tidak
aminnnnn,amin
ka,kak
make,memakai
kaaaaa,kak
aamiinnn,amin
smga,semoga
slalu,selalu
skluarga,sekeluarga
daah,dah
suaminga,suaminya
udah,sudah
berhijap,berhijab
smgaa,semoga
istiqamah,istikamah
aamiin,amin
cuaaantikk,cantik
udah,sudah
cantikk,cantik
yah,ya
rb,ribu
muraaaaah,murah
rb,ribu
aja,saja
gk,tidak
aamiin,amin
mba,mbak
yukk,yuk
baraang,barang
aamiiin,amin
udh,sudah
aamiin,amin
bets,banget
aamiin,amin
seneng,senang
kaka,kakak
ka,kak
bgt,banget
smga,semoga
kaka,kakak
aamiin,amin
aamiin,amin
yaa,ya
yaaa,ya
cantiknyaaa,cantiknya
amiiin,amin
aamiin,amin
aamiin,amin
yg,yang
gk,tidak
pake,pakai
lbh,lebih
mba,mbak
bgt,banget
pake,pakai
alhamdulillaaaaah,alhamdulillah
istiqamah,istikamah
yah,ya
makasi,terima kasih
uda,sudah
sembuhin,menyembuhkan
bener,benar
aamiin,amin
tetep,tetap
kaaa,kak
fto,foto
d,di
z,saja
ad,ada
yg,yang
bkin,bikin
pengrusak,perusak
pngn,pengin
ngoceh,mengoceh
ni,ini
aduhhh,aduh
hpus,hapus
fto,foto
pjang,pajang
msh,masih
bdampingan,berdampingan
sm,sama
org,orang
yg,yang
sdh,sudah
klo,kalo
tdk,tidak
hrs,harus
liatnya,lihatnya
it,itu
ap,apa
yg,yang
y,ya
mnding,mending
sm,sama
aja,saja
liat,lihat
kaga,kagak
liat,lihat
yg,yang
aj,saja
uih,uh
komenx,komennya
"serem""",seram-seram
yg,yang
"happi""",hepi-hepi
aza,saja
sm,sama
bgt,banget
bgtuu,begitu
ga,tidak
yaa,ya
g,tidak
mff,maaf
y,ya
q,ku
jd,jadi
ktwa,ketawa
liat,lihat
fto,foto
yg,yang
yg,yang
pke,pakai
bngt,banget
slh,salah
x,kali
yeee,ya
abizzz,habis
bnr2,benar-benar
malu2in,malu-malui
aj,saja
sm,sama
yg,yang
bkin,bikin
ngakak,mengakak
mff,maaf
y,ya
q,ku
trlalu,terlalu
jjur,jujur
klo,kalo
ngmg,mengomong
semogaa,semoga
kepelesett,terpeleset
kyk,kayak
gt,begitu
pake,pakai
geeelaakk,gila
salfok,salah fokus
bolang,bocah petualang
pkek,pakai
pnjang,panjang
pla,pula
lg,lagi
ma,sama
emang,memang
pake,pakai
lagihh,lagi
hedeuuhh,aduh
stress,stres
lama2,lama-lama
saltummmm,salah kostum
gak,tidak
kaga,kagak
nyambung,menyambung
cwe,cewek
ngakak,mengakak
gini,begini
gk,tidak
mboizzz,bois
jgn,jangan
yg,yang
suda,sudah
ama,sama
kayaq,kayak
ihhh,ih
ema,emak
liat,lihat
aja,saja
gayany,gayanya
engk,tidak
bgt,banget
gw,gue
cepet,cepat
bgt,banget
bgt,banget
kasian,kasihan
org,orang
g,tidak
kerjaan,pekerjaan
org,orang
g,tidak
ngaca,mengaca
dirumahny,dirumahnya
pd,pada
g,tidak
udah,sudah
ga,tidak
yg,yang
ama,sama
lgi,lagi
yuh,tuh
yg,yang
ad,ada
mlah,malah
ktmu,ketemu
fto,foto
yg,yang
rmbt,rambut
yahh,ya
liat,lihat
gak,tidak
liatnya,lihatnya
yg,yang
mrusak,merusak
liat,lihat
apus,hapus
aja,saja
yg,yang
gara2,gara-gara
yg,yang
dunk,dong
yg,yang
yg,yang
siapayahh,siapa ya
bilangin,bilang
pake,pakai
kostom,kostum
loo,lo
ko,kok
cewe,cewek
ky,kaya
gnii,begini
pinter,pintar
lucuuuu,lucu
bangettttt,banget
kyk,kayak
gini,begini
atuu,satu
ngegemesin,menggemaskan
gemes,gemas
lohh,loh
pipinyaaa,pipinya
yaaa,ya
kyk,kayak
bgt,banget
sm,sama
pinginnn,pengin
pinter,pintar
bgt,banget
bungkuuuuuuuuusss,bungkus
iiiihhhhhj,ih
emeessss,gemas
nggak,tidak
pipine,pipinya
glembeeeer,gelambir
bgt,banget
lucunaaa,lucunya
cubanget,lucu banget
pengenn,pengin
bgttt,banget
bgt,banget
lucuuuuu,lucu
unyuuk,unyu
bgd,banget
dedek,adek
lucunyah,lucunya
mantaaap,mantap
bingits,banget
pesen,pesan
dmana,dimana
yg,yang
keduaa,kedua
engga,tidak
engga,tidak
sma,sama
yg,yang
trsrh,terserah
ksih,kasih
engga,tidak
jgn,jangan
orng,orang
yha,ya
kaka,kakak
seterong,setrong
teyuss,terus
aja,saja
gak,tidak
ush,usah
dimasukin,dimasuki
klo,kalo
yg,yang
jelekin,menjelekkan
aja,saja
orng,orang
yg,yang
jahatin,menjahati
jelekin,menjelekkan
orng,orang
gak,tidak
ush,usah
masukin,memasuki
tai,tahi
tai,tahi
ajaa,saja
ngapain,mengapa
akn,akan
gak,tidak
ngomongnya,mengomongnya
udh,sudah
gk,tidak
kyknya,kayaknya
gtw,tidak tau
aja,saja
yg,yang
omongin,omongkan
qo,kok
nulis,menulis
klu,kalo
gk,tidak
knp,kenapa
gk,tidak
aja,saja
g,tidak
ngerti,mengerti
aja,saja
nyebutin,menyebutkan
yg,yang
gak,tidak
aja,saja
yg,yang
dengerin,dengarkan
gak,tidak
bales,balas
ngertiin,mengerti
yg,yang
rasaiin,rasai
gakusah,tidak usah
disni,disini
slalu,selalu
yg,yang
cantiik,cantik
kk,kakak
dri,dari
pda,pada
yg,yang
liat,lihat
dri,dari
org,orang
aja,saja
sabarrr,sabar
semangaatttt,semangat
gak,tidak
dengerin,dengarkan
gak,tidak
gk,tidak
tdk,tidak
skrng,sekarang
bener,benar
nonton,nonton
aj,saja
scr,secara
nyalahin,menyalahkan
nyindir,menyindir
bgt,banget
bedain,membedakan
bgt,banget
bedainnya,membedakannya
bgt,banget
keknya,kayaknya
dehhh,deh
lbih,lebih
krus,kurus
dri,dari
pda,pada
bner,benar
gaa,tidak
drpd,daripada
ka,kak
bangeet,banget
kk,kakak
jg,juga
bgt,banget
liat,lihat
aja,saja
bgt,banget
elaaaahhhh,alah
kereenn,keren
cogan,cowok ganteng
cogan,cowok ganteng
tap8,tapi
imoet,imut
ihh,ih
nggak,tidak
bosen,bosan
pandanginya,memandanginya
kakanya,kakaknya
yg,yang
kenaliiin,kenalkan
sm,sama
qu,ku
banyak2,banyak-banyak
yo,ya
tauuu,tau
awk,awak
lgi,lagi
suko,suka
sm,sama
org,orang
niih,nih
kk,kakak
bgtt,banget
sihhhh,sih
udh,sudah
"sebaik""",sebaik-baik
org,orang
org,orang
ga,tidak
ngomentarin,mengomentari
org,orang
laen,lain
yg,yang
blm,belum
bener,benar
ajah,saja
udh,sudah
dpt,dapat
jd,jadi
"masing""",masing-masing
ikh,ih
kyk,kayak
gt,begitu
g,tidak
pantes,pantas
pake,pakai
yg,yang
g,tidak
gmn,bagaimana
klo,kalo
smpe,sampai
nnti,nanti
yg,yang
ngomongnya,mengomongnya
gt,begitu
tu,itu
segtu,sebegitu
ngebenci,membenci
ny,nya
bakar2in,bakar-bakari
slmt,selamat
ank,anak
smg,semoga
sm,sama
km,kamu
ttp,tetap
km,kamu
padhe,pakde
km,kamu
yg,yang
yya,ya
yya,ya
atw,atau
klo,kalo
jgn,jangan
org,orang
yg,yang
dosa2mu,dosa-dosamu
org,orang
yg,yang
maafin,memaafi
gabisa,tidak bisa
jd,jadi
temen,teman
ky,kaya
muke,muka
gile,gila
pede,percaya diri
bgd,banget
ujung2,ujung-ujung
jd,jadi
lg,lagi
d,di
aj,saja
dalem2,dalam-dalam
kgak,kagak
d,di
bahas2,bahas-bahas
jg,juga
ud,sudah
k,ke
dy,dia
skrg,sekarang
mslh,masalah
woles,selow
aj,saja
jd,jadi
spt,seperti
km,kamu
hianatin,khianati
dr,dari
org,orang
yg,yang
tdk,tidak
halangin,halangi
dg,dengan
iyuh,ih
bngt,banget
knp,kenapa
iyuuuhhhh,ih
gaje,tidak jelas
jgn2,jangan-jangan
gk,tidak
gabakal,tidak bakal
gitu,begitu
aja,saja
yg,yang
org,orang
jga,juga
klo,kalo
emang,memang
adapin,menghadapi
ga,tidak
bnyak,banyak
emang,memang
ngehakimi,menghakimi
gw,gue
yg,yang
th,tahun
aja,saja
ngerti,mengerti
gmna,bagaimana
ngejuangin,memperjuangkan
gimana,bagaimana
dipojokin,dipojokkan
aja,saja
kek,kayak
idup,hidup
udah,sudah
bener,benar
gw,gue
yg,yang
bacotin,bacoti
udah,sudah
berati,berarti
dripada,daripada
kebangetak,kebangetan
klo,kalo
gak,tidak
tangkep,tangkap
jg,juga
d,di
gitu,begitu
dipake,dipakai
bt,buat
ngomong,mengomong
gitu,begitu
sadis2,sadis-sadis
cowo,cowok
yg,yang
ga,tidak
maksir,menaksir
udh,sudah
tp,tapi
tetep,tetap
hebatt,hebat
nerima,menerima
yaa,ya
liht,lihat
dr,dari
pndang,pandang
aja,saja
sbagai,sebagai
pmbelajaran,pembelajaran
jugaa,juga
orng,orang
yg,yang
bgt,banget
bgt,banget
gak,tidak
ngejelek,menjelekkan
yg,yang
maslah,masalah
pake,pakai
mmperbaiki,memperbaiki
aja,saja
ud,sudah
jd,jadi
krn,karena
klo,kalo
utk,untuk
temenan,berteman
sm,sama
mb,mbak
aja,saja
yg,yang
nahan,menahan
yg,yang
jd,jadi
jd,jadi
yg,yang
ga,tidak
pnya,punya
ga,tidak
pny,punya
ga,tidak
pny,punya
udh,sudah
ngerebut,merebut
yg,yang
ga,tidak
pny,punya
dr,dari
kafeh,kafe
remang2,remang-remang
mlh,malah
nusuk,menusuk
dr,dari
tinggl,tinggal
dirmh,dirumah
lg,lagi
mlh,malah
yg,yang
dr,dari
tp,tapi
gak,tidak
ngaku,mengaku
gmn,bagaimana
mbaa,mbak
gak,tidak
mnta,minta
klo,kalo
gt,begitu
byk,banyak
yg,yang
temen,teman
nangis,menangis
aja,saja
pantes,pantas
lbh,lebih
dri,dari
knp,kenapa
yg,yang
kale,kali
yg,yang
iyuuhhh,ih
yg,yang
cwo,cowok
udah,sudah
yg,yang
udah,sudah
mnjadi,menjadi
ktika,ketika
dipuja2,dipuja-puja
ga,tidak
kam,kamu
cwe,cewek
smoga,semoga
km,kamu
ngrasain,merasai
yg,yang
rasain,rasai
tp,tapi
aja,saja
nonton,nonton
aja,saja
org,orang
pesen,pesan
aja,saja
karna,karena
ngurusin,mengurusi
yeeee,ya
ityl,itil
hbs,habis
gara2,gara-gara
kyak,kayak
marah2,marah-marah
ma,sama
gw,gue
emang,memang
wenak,enak
sukak,suka
ngarang,mengarang
bnr,benar
donk,dong
gara2,gara-gara
bgt,banget
hdp,hidup
ngga,tidak
kek,kayak
gini,begini
ngehina,menghina
aja,saja
jg,juga
kelas'a,kelasnya
hadeeehhh,aduh
yg,yang
gak,tidak
jing,anjing
lg,lagi
"abal""",abal-abal
"kecil""",kecil-kecil
ori,orisinal
bgt,banget
smua,semua
yg,yang
gtu,begitu
kenceng,kencang
jd,jadi
jd,jadi
kek,kayak
"gtu""an",begitu-gituan
klo,kalo
gmanapun,bagaimanapun
tetep,tetap
aja,saja
trims,terima kasih
yah,ya
kr,kira
td,tadi
nenek2,nenek-nenek
taux,taunya
cepet,cepat
pantes,pantas
aja,saja
liat,lihat
urat2nya,urat-uratnya
ketarik,tertarik
emang,memang
ngorbanin,mengorbankan
eksprsi,ekspresi
gitulah,begitulah
klo,kalo
yg,yang
gtu,begitu
ga,tidak
ga,tidak
kyk,kayak
klo,kalo
yg,yang
"foto""",foto-foto
mamas,mas
klo,kalo
ngilangin,menghilangkan
jg,juga
ajah,saja
gada,tidak ada
bandingin,bandingkan
yg,yang
tua2,tua-tua
ajah,saja
bgt,banget
kasian,kasihan
cantik2,cantik-cantik
yg,yang
ketarik,tertarik
pake,pakai
terus2an,terus-terusan
cepet,cepat
udah,sudah
udah,sudah
gak,tidak
liat2,lihat-lihat
sampe,sampai
liatnya,lihatnya
waduhh,waduh
"bawa""",bawa-bawa
badingkan,membandingkan
mba,mbak
gtu,begitu
yah,ya
sampe,sampai
gmana,bagaimana
gtu,begitu
kyk,kayak
aja,saja
sy,saya
udah,sudah
ga,tidak
yah,ya
aja,saja
klo,kalo
klo,kalo
aja,saja
udah,sudah
yahh,ya
bgmana,bagaimana
udah,sudah
aja,saja
ga,tidak
sy,saya
ngakak,mengakak
sy,saya
ga,tidak
ngehina,menghina
mba,mbak
aja,saja
yg,yang
gini,begini
yg,yang
ga,tidak
ngurus,mengurus
ga,tidak
org,orang
klo,kalo
yg,yang
trus,terus
yg,yang
yah,ya
lanjutin,lanjutkan
aja,saja
org,orang
yg,yang
byk,banyak
krn,karena
org,orang
yg,yang
byk,banyak
org,orang
yg,yang
ributin,meributkan
cwo,cowok
cwo,cowok
brantem,berantem
gara2,gara-gara
belain,membela
kek,kayak
gitu,begitu
keliatan,kelihatan
lipetan,lipatan
kek,kayak
gitu,begitu
keliatan,kelihatan
lipetan,lipatan
ngomong,mengomong
yg,yang
g,tidak
ampuun,ampun
yya,ya
sya,saya
mba,mbak
fto,foto
sm,sama
"nenek""",nenek-nenek
bneraan,benaran
kageeet,kaget
sangaaattt,sangat
rmbuut,rambut
nenek2,nenek-nenek
km,kamu
nt,nanti
walik,balik
sma,sama
emg,memang
oma2,oma-oma
kirain,mengira
skrng,sekarang
bgt,banget
knp,kenapa
d,di
kyk,kayak
nenek2,nenek-nenek
in,ini
kellen,kalian
y,ya
beneran,benaran
mbk,mbak
kyk,kayak
sm,sama
nyerocos,mencerocos
aje,saja
ibuk2,ibu-ibu
gak,tidak
ngomenin,mengomentari
iseng2,iseng-iseng
aja,saja
tp,tapi
gk,tidak
nyangka,menyangka
makasih,terima kasih
yaaa,ya
ga,tidak
udah,sudah
niyyyyhhhh,nih
yg,yang
besarin,membesarkan
yg,yang
yg,yang
yg,yang
cantik2,cantik-cantik
mlah,malah
kek,kayak
gak,tidak
sexi2,seksi-seksi
blh,boleh
pkai,pakai
blik,balik
kk,kakak
cb,coba
kenape,kenapa
yg,yang
kkak,kakak
syg,sayang
jgn,jangan
ladenin,meladeni
org,orang
yg,yang
bkin,bikin
kkak,kakak
jdi,jadi
skit,sakit
hat,hati
kkak,kakak
syg,sayang
kkak,kakak
bnyak,banyak
kkak,kakak
jilbabnye,jilbabnya
kk,kakak
ledkin,meledeki
tpi,tapi
yah,ya
digabtikan,digantikan
yg,yang
skrg,sekarang
jng,jangan
ngumung,mengomong
dikemanain,dikemanakan
ilang-in,hilangkan
udh,sudah
bener,benar
pake,pakai
dri,dari
pda,pada
ga,tidak
pke,pakai
ny,nya
ga,tidak
ga,tidak
prinadi,pribadi
org,orang
lahh,lah
luh,lu
yep,ya
dri,dari
u,lu
"ngaku""",mengaku-ngaku
aja,saja
helooooo,halo
ngaku,mengaku
aja,saja
gak,tidak
u,lu
loe,lo
emang,memang
yaa,ya
rempong,repot
org,orang
sndiri,sendiri
ud,sudah
bener,benar
aja,saja
masi,masih
aja,saja
palingann,palingan
berjinah,berzina
munaafikk,munafik
urusn,urusan
org,orang
mw,mau
pk,pakai
kaga,kagak
benar2,benar-benar
aja,saja
mba,mbak
gak,tidak
dg,dengan
saudra,saudara
trganggu,terganggu
kk,kakak
bhijab,berhijab
lgi,lagi
rmbut,rambut
km,kamu
dn,dan
yuu,yuk
dlm,dalam
hri,hari
lepasin,melepas
pokonya,pokoknya
lucuuuu,lucu
d,di
smentara,sementara
ka,kak
d,di
aja,saja
d,di
yg,yang
ka,kak
ga,tidak
ka,kak
ka,kak
dengerin,mendengarkan
org,orang
biarin,biarkan
yg,yang
kaka,kakak
d,di
ka,kak
ka,kak
kaka,kakak
yg,yang
kaka,kakak
org,orang
kaka,kakak
pdhl,padahal
waduhhh,waduh
kasian,kasihan
org2,orang-orang
yg,yang
ursan,urusan
org,orang
sudab,sudah
dwsa,dewasa
pnya,punya
agma,agama
ap,apa
yg,yang
jd,jadi
jgn,jangan
rpt2,repot-repot
sbr,sabar
aja,saja
y,ya
ngaji,mengaji
yg,yang
yg,yang
nmr,nomor
yg,yang
romantiz,romantis
ituu,itu
tdk,tidak
murmer,murah meriah
pensaran,penasaran
dapet,dapat
aja,saja
kepoin,kepoi
baru2,baru-baru
tlp,telepon
bosaan,bosan
udah,sudah
pake,pakai
gak,tidak
yuukk,yuk
kitaaa,kita
ga,tidak
konsul,konsultasi
gak,tidak
yok,yuk
lainnyaa,lainnya
jt,juta
perbulannn,perbulan
penyebab2,penyebab-penyebab
ko,kok
lg,lagi
mba,mbak
tp,tapi
nyupir,menyopir
ko,kok
blm,belum
tdk,tidak
yukk,yuk
dn,dan
cpt,cepat
steess,stres
"gara""",gara-gara
jngan,jangan
kwatir,kawatir
tengah2,tengah-tengah
duetin,duet
dongg,dong
kyk,kayak
duetin,duet
dongg,dong
mudaa,muda
sm,sama
ajah,saja
dapetin,mendapati
tdk,tidak
nyari,mencari
ga,tidak
gini,begini
bgt,banget
sebenernya,sebenarnya
mrka,mereka
skrg,sekarang
dgn,dengan
skrg,sekarang
silsturahmi,silaturahmi
jg,juga
tdk,tidak
yg,yang
dgn,dengan
ank2nya,anak-anaknya
tdk,tidak
ank,anak
yg,yang
yg,yang
tdk,tidak
yg,yang
sdh,sudah
sgt,sangat
mrka,mereka
dgn,dengan
ank2nya,anak-anaknya
tdk,tidak
dijkt,dijakarta
tdk,tidak
may,mau
tdk,tidak
bs,bisa
sebenernya,sebenarnya
cums,cuma
yg,yang
bs,bisa
jg,juga
bs,bisa
dgn,dengan
undangan2,undangan-undangan
jd,jadi
bener2,benar-benar
dgn,dengan
bgt,banget
dlm,dalam
past,pasti
sgt,sangat
kgn,kangen
wktunya,waktunya
dr,dari
anknya,anaknya
krn,karena
tdk,tidak
krn,karena
blg,bilang
byk,banyak
yg,yang
tp,tapi
wktunya,waktunya
yg,yang
blm,belum
sebenernya,sebenarnya
klo,kalo
krn,karena
jd,jadi
kluarga,keluarga
ayukk,yuk
gk,tidak
ngucapin,mengucapkan
kaka,kakak
yg,yang
bru,baru
udah,sudah
nntn,nonton
bgus,bagus
bgt,banget
filmny,filmnya
dapet,dapat
nari,menari
sampe,sampai
nangis,menangis
liat,lihat
udah,sudah
nonton,nonton
sukak,suka
pengen,pengin
nonton,nonton
kl,kalo
yg,yang
blm,belum
ntn,nonton
uda,sudah
nonton,nonton
ntn,nonton
blm,belum
ntn,nonton
nobar,nonton bareng
udah,sudah
kemariin,kemarin
yaaaa,ya
makasih,terima kasih
liat,lihat
d,di
lagiiii,lagi
knpp,kenapa
udh,sudah
ga,tidak
ad,ada
lggi,lagi
lma,lama
gaprgi,tidak pergi
nnton,nonton
aaahh,ah
lagii,lagi
klau,kalo
d,di
makasih,terima kasih
yaa,ya
ga,tidak
yaa,ya
makasih,terima kasih
yaaa,ya
iyaaa,iya
yaa,ya
ndak,indak
pa2,apa-apa
maen,main
tgl,tanggal
dtunggu,ditunggu
ngga,tidak
bkin,bikin
baper,bawa perasaan
masa2,masa-masa
thn,tahun
gak,tidak
kepikir,terpikir
gak,tidak
nonton,nonton
liat,lihat
bgt,banget
aja,saja
liat,lihat
liat,lihat
ad,ada
tp,tapi
seruuu,seru
kaka,kakak
bgt,banget
lucuuuu,lucu
bgt,banget
nonton,nonton
bgt,banget
bagusss,bagus
bgt,banget
sampe,sampai
nonton,nonton
kek,kayak
jg,juga
bgs,bagus
thn,tahun
udh,sudah
ade,adek
emeshh,gemas
th,tahun
kaya,kayak
udah,sudah
astagaaaaaa,astaga
thn,tahun
ka,kak
kaka,kakak
pacarn,pacaran
bgni,begini
ktg,kita
th,tahun
aja,saja
pacaranya,pacarannya
udah,sudah
bgt,banget
mbaak,mbak
gitu,begitu
ka,kak
kka,kakak
ngalah,mengalah
de,dek
klo,kalo
yg,yang
udh,sudah
th,tahun
kek,kayak
gini,begini
bru,baru
ngucapin,mengucapkan
pacarane,pacarannya
rusakkk,rusak
udah,sudah
th,tahun
ehh,eh
yaaampunnn,ya ampun
th,tahun
th,tahun
gini,begini
ga,tidak
aja,saja
kaga,kagak
inii,ini
taun,tahun
yg,yang
thn,tahun
tuwek,tua
mukae,mukanya
ultahe,ultahnya
yaaa,ya
bgtt,banget
thn,tahun
tp,tapi
udh,sudah
udh,sudah
mlh,malah
kliatanya,kelihatannya
thn,tahun
apaa,apa
udh,sudah
ky,kaya
q,aku
liat,lihat
bingiit,banget
pcaranya,pacarannya
udah,sudah
kyk,kayak
taon,tahun
uda,sudah
bermaksut,bermaksud
tp,tapi
karna,karena
emang,memang
tampialannya,tampilannya
nikaah,nikah
aja,saja
thn,tahun
udh,sudah
"anak""",anak-anak
lha,lah
kek,kayak
gini,begini
pankapan,kapan-kapan
gpp,tidak apa-apa
keliatan,kelihatan
pake,pakai
kl,kalo
yg,yang
ngumbar,mengumbar
dhpusin,dihapuskan
smua,semua
tteh,teteh
bsa,bisa
istiqomah,istikamah
aamiin,amin
wihh,wih
gak,tidak
nyangka,menyangka
bangett,banget
ga,tidak
nyesel,menyesal
dehh,deh
cepet,cepat
yg,yang
ga,tidak
aja,saja
semangaatt,semangat
mudah2,mudah-mudah
dlm,dalam
liat,lihat
udah,sudah
mnutup,menutup
yg,yang
rb,ribu
dgn,dengan
msh,masih
yg,yang
blm,belum
apus,hapus
gak,tidak
aja,saja
hub,hubungi
saranin,menyarankan
pake,pakai
naek,naik
ka,kak
pake,pakai
ka,kak
tehh,teh
lbih,lebih
pake,pakai
hijabb,hijab
dapet,dapat
ttp,tetap
yaa,ya
mksh,terima kasih
udh,sudah
nyaranin,menyarankan
pake,pakai
dr,dari
skrng,sekarang
ja,saja
mksh,terima kasih
ka,kak
yah,ya
udah,sudah
saranin,menyarankan
udah,sudah
makasih,terima kasih
yah,ya
ka,kak
ka,kak
bngatt,banget
kaaa,kak
pake,pakai
liat,lihat
fto,foto
kk,kakak
trus,terus
dii,di
yah,ya
kk,kakak
ooh,oh
fto,foto
yg,yang
g,tidak
pke,pakai
d,di
hapusin,hapuskan
y,ya
lohhh,loh
syg,sayang
skali,sekali
kaka,kakak
ngeuh,engah
klo,kalo
th,tahun
yaah,ya
nnti,nanti
d,di
yg,yang
ka,kak
smoga,semoga
yaa,ya
mbaa,mbak
sneng,senang
liat,lihat
kyk,kayak
mbaa,mbak
mutusin,memutuskan
bwt,buat
lbh,lebih
lg,lagi
ngapus,menghapus
fto2,foto-foto
sblm,sebelum
awl,awal
dr,dari
mmg,memang
hrus,harus
trs,terus
sll,selalu
d,di
smoga,semoga
d,di
d,di
trus,terus
bngkit,bangkit
mncoba,mencoba
lbh,lebih
smoga,semoga
ttp,tetap
skli,sekali
lg,lagi
bingit,banget
dapetin,mendapati
dri,dari
slmt,selamat
smoga,semoga
mmg,memang
tdk,tidak
tpi,tapi
yg,yang
org,orang
waww,wow
mantapp,mantap
pake,pakai
gituan,begituan
cobaaa,coba
gak,tidak
nyesel,menyesal
ga,tidak
cobaa,coba
aja,saja
buktiin,membuktikan
ga,tidak
ngebuktiin,membuktikan
wahhh,wah
mba,mbak
mutuain,memutuskan
udh,sudah
smw,semua
foto2,foto-foto
yg,yang
blm,belum
pake,pakai
ttp,tetap
mba,mbak
geuliiiiiiis,geulis
euyyyyy,euy
dlm,dalam
ntar,entar
ga,tidak
gini,begini
engga,tidak
widihh,idih
bingit,banget
iyaa,iya
kerenn,keren
kek,kayak
gitu,begitu
uuh,uh
pengen,pengin
dr,dari
td,tadi
ngomongin,mengomongkan
kek,kayak
gini,begini
ngakak,mengakak
udah,sudah
kek,kayak
tp,tapi
emg,memang
ngirim,mengirim
ngidam,mengidam
waah,wah
sampis,sampah habis
emang,memang
gt,begitu
maapin,maaf
yak,ya
ngebala,bala
mampuussss,mampus
bgt,banget
diihhhh,dih
bgt,banget
hrusnya,harusnya
sabal,sabar
udahlah,sudahlah
kauuuu,kau
gini,begini
pengen,pengin
yg,yang
kya,kaya
gini,begini
teruss,terus
trus,terus
uhhh,uh
km,kamu
