slang,formal
bangettttt,banget
bangg,bang
kangeeeeeeeeennnnnnnn,kangen
kaliannnnnn,kalian
rinduuuuuuuuuu,rindu
kangennnnnmnnnnnnnnnnnnnnnnn,kangen
kaliannnnnm,kalian
kangeeeeeeeeeeennnnn,kangen
kangennnnnnnnnnnnnnnn,kangen
kangennn,kangen
kaliannnnnnn,kalian
th2,tahun-tahun
smoga,semoga
dl,dulu
smpt,sempat
blg,bilang
trserah,terserah
ad,ada
yg,yang
d,di
cwo,cowok
trus,terus
prnah,pernah
blg,bilang
lg,lagi
wlwpun,walaupun
trpsah,terpisah
klw,kalo
mmg,memang
alloh,allah
prsatukn,persatukan
mmg,memang
sdh,sudah
klw,kalo
g,tidak
slh,salah
ngomng,mengomong
mdh2an,mudah-mudahan
sm,sama
skedar,sekadar
sperti,seperti
kangennn,kangen
kangeeerrn,kangen
pulak,pula
tpi,tapi
terrrrbaik,terbaik
jorookknya,joroknya
ihhhhh,ih
cobaa,coba
padahall,padahal
jorokkkk,jorok
mualll,mual
klow,kalo
muke,muka
yg,yang
bner,benar
ajh,saja
taiiii,tahi
seneeeeeng,senang
yaa,ya
ga,tidak
nyesel,menyesal
besarin,membesarkan
mksh,terima kasih
tanyang,tayang
ber2,berdua
jngan,jangan
trus,terus
ngelarang,melarang
kerreeen,keren
udh,sudah
pantess,pantas
bngettt,banget
sampe,sampai
baperr,bawa perasaan
sudh,sudah
ga,tidak
sbr,sabar
pngen,pengin
nntn,nonton
ht,hati
pemainy,pemainnya
aq,aku
jga,juga
bnget,banget
ama,sama
aq,aku
jg,juga
aqu,aku
ngeliat,melihat
sampe,sampai
baper,bawa perasaan
smoga,semoga
gk,tidak
akn,akan
bnget,banget
nyampe,sampai
kbawa,terbawa
bradegan,beradegan
sm,sama
baper,bawa perasaan
bnget,banget
smga,semoga
amiiinnnn,amin
mlm,malam
nikahin,menikahi
hadeuh,aduh
bener2,benar-benar
nyambung,menyambung
aq,aku
liyat,lihat
krn,karena
sk,suka
bgt,banget
sm,sama
kluarga,keluarga
adengan,adegan
yaaa,ya
adengan,adegan
engga,tidak
bngtt,banget
bingit,banget
dapetin,mendapati
krn,karena
model2,model-model
sitayngin,ditayangkan
cocokkk,cocok
bgt,banget
mahhhh,mah
bangett,banget
cocokny,cocoknya
smoga,semoga
kaka,kakak
iniw,ini
sma,sama
jga,juga
q,ku
setju,setuju
bngt,banget
sma,sama
bnern,benaran
pcrn,pacaran
klian,kalian
cocokkkk,cocok
bngett,banget
abes,habis
pngen,pengin
kyk,kayak
gtu,begitu
ntar,entar
kek,kayak
gini,begini
br,baru
mksdny,maksudnya
tu,itu
knp,kenapa
kmu,kamu
brpa,berapa
tu,itu
ihh,ih
bgt,banget
sma,sama
aamiin,amin
dlu,dulu
kesampean,kesampaian
beginiiii,begini
ntr,entar
ak,aku
beliin,membelikan
kya,kaya
gini,begini
keq,kek
ngeliat,melihat
ngerasa,merasa
km,kamu
sygkuu,sayangku
lucuuuu,lucu
ngeselin,mengesalkan
bkin,bikin
masi,masih
baju'a,bajunya
fto,foto
gtu,begitu
jg,juga
bgt,banget
gara'',gara-gara
teruss,terus
pokok'a,pokoknya
bg,bang
ubur2,ubur-ubur
kuyy,yuk
bentarr,bentar
kuyy,yuk
klw,kalo
dureen,duren
ajibb,ajib
mahall,mahal
yukk,yuk
niiihh,nih
ubur2,ubur-ubur
donk,dong
imuuttt,imut
imuttzz,imut
nha,nya
asliii,asli
konten2,konten-konten
rasain,rasai
daaaah,deh
asliiii,asli
cantiknnnnyaaaaaaa,cantiknya
yuuk,yuk
ngelihatnya,melihatnya
aqu,aku
bdn,badan
na,nya
ibu2,ibu-ibu
bgt,banget
lau,kau
yaaa,ya
cantikkk,cantik
kakkk,kak
cantikk,cantik
sexxi,seksi
bgt,banget
bulet,bulat
ituu,itu
ngocok,mengocok
ni,ini
yg,yang
mw,mau
nyoba,mencoba
ikutin,mengikuti
gn,begini
yaahhh,ya
kencqng,kencang
ak,aku
kra,kira
kra,kira
msh,masih
diginikan,dibeginikan
"coret""",coret-coret
lahh,lah
gw,gue
gambarin,gambarkan
ntr,entar
