index,comments
86,"Hebatnya Anis Baswedan :
Ijazahnya Asli
Keturunannya Jelas
Cucu dari Pahlawan Nasional
Ga Pernah : 👇 
👉 Korupsi e-KTP. 
👉 Korupsi BLBI
👉 Korupsi bansos. 
👉 Korupsi Asabri. 
👉 Makan duit rakyat. 
👉 Makan duit negara
👉 Tidak memelihara Buzzer Rp
👉 Terlibat Korupsi Trans 
👉 Tunduk Kepada Aseng dan 
Asing
👉 Jual Indosat
👉 Jual Tanker
👉 Bikin BUMN bangkrut
👉 Tunduk pada Komunis
👉 Bikin Indonesia terlilit
hutang 
👉Jual Aset negara
👉 Mau mengganti Pancasila jadi 
Ekasila dan Trisila"
87,Siapa yang setuju @aniesbaswedan menjadi Presiden. Ayo tunjuk tangan!
88,Merubah Dp rumah 0% jadi 20 %
89,Pak Anis ttp terbaik😍
90,Kuntul
91,Sehat selalu ya pak
92,Bismillah P Anies presiden RI 2024
93,"MasyaAlloh alhamdulillah, mantap👍👍❤"
94,Tetep rambut putih
95,Insya Allah anis menang😍
96,Bismillah pak Anies
97,Kerenn saatnya guru jadi presiden 👏👏👏
98,Perubahan akhlak
99,"NGIBULIN PRIBUMI MULU, DASAR YAMAN!"
100,"@aniesbaswedan  bacot besar,, kerja NOL 5 Tahun jdi Gubernur jkrt, kerja mu NoL @aniesbaswedan !!"
101,Mau perubahan Kesehatan terus waktu di Jakarta apa yg dikerjakan Tentang kesehatan pak ?? kJP tinggal tambah plus ?? ABBD hampir 400T juga ngebangun Puskesmas cuma  satu 🤔apalagi disuruh bangun RSUD 😶
102,"Perubahanya tdk masuk Akal mengada 2 ngawur blas ,kesehatan berobat ke rumah sakit gampang tdk ada yg nolak semua udah di caver bpjs dan kis dan udah banyak daerah 2 kabupaten berobat cukup ktp saja ... Masalah sembako harga stabil  dan data warga DTKS stiap bulan bansos berjalan ada pkh ada penerima manfaat.. kendaraan motor satu keluarga punya masing 2"
103,Lebih baik mundur secara terhormat pak @aniesbaswedan ...
104,Pret 😂😂🤣🤣
105,"Ayo kita rapatkan barisan menuju perubahan, agar rakyat sejahtera....jgn menyesal nantinya....pemimpin yg amanah telah kita miliki ayo #anisrasyidbaswedan2024"
106,Anies - novel bamukman top martop deh
107,"Ayo lakukan PERUBAHAN sesungguhnya yang abadi itu hanya perubahan didunia ini, ayo ayo ayo dong segera berubah 😂😍"
108,Di jkt kmrm gk terbukti dgn janji2nya....
109,"Kebanyakan komen buzzerrp sama semua, kalau gk komen kelebihan bayar, komen gk ada hasil kerja selama jadi gubernur Jakarta,  bapak politik identitas, 😂"
110,😂😂😂😂😂😂😂
111,Setuju pak Anies
112,"Saya ingin perubahan saling hujat antar peserta pemilu 2024

Itu saja......ayo bangun negeri ini bersama-sama, seperti nenek moyang kita mengusir penjajah secara bersama-sama"
113,"Pak anies, saya akan dukung bapak kalo bapak berani tegas sama oknum tni dan polri yang kalo di jalan minta di kasih jalan dengan bunyi kan sirine atau klakson. Emang jalan punya mereka. Kalo bapak berani tegas saya akan dukung bapak, tapi kalo gak berani berarti sama aja dengan presiden yang sekarang"
