comments
InsyaAllah kami sgt butuh perubahan tingkat kehidupan yg lbh layak.  Bukan hanya mengandalkan Bansos dan Blt dan semacamnya sisa dari yg dikorupsi @aniespresidenindonesia
"Waktu mepimpin jakarta banyak sekali perubahannya,lihatlah"
Tetap  anis dong RI 1.
ayoo pak biar cepet jadi presiden
Sore-sore kejepit pintu @pisangkokmatang
Perubahan penegak hukum adil seadil-adilnya
Di jakarta jadi serba sulit Kan luh gubernurnya 😂
@sandiuno kurang lebih ini pak yang di maksud pak anis dalam gagasan koalisi perubahan jadi jangan salah mengartikan dalam perubahan yang bapak pikir selama ini ya pak 🙏
Kenapa tidak perbaikan..kalau perubahan..semua akan di rubah mulai dari nol lgi..
Lebih baik perbaikan daripada perubahan 🙌
"Aklak loe aja Nies yg perlu perubahan, NKRI gak perlu..!!!"
"Mau keruk sungai/kali di Jakarta saja, rakyat Jakarta harus lakukan proses hukum ke pengadilan, dan akhirnya dipaksa pengadilan baru dikerjakan...yang model begini masih dipercaya....🤭"
"Angin Surga yg selalu dihembuskan, gak usah jauh2... Selama 5 tahun Anis Gubernur DKI itu saja, apa ada perubahan...??? Indonesia terlalu luas utk dibuat perubahan"
Dp rumah 0% pak lanjutkan 😅😅
TERBAIK 🥰🥰🥰🇮🇩🇮🇩
Bismillah Indonesia bersama bung Anies Baswedan
"Wk...wk.... rubah nama jalan , rumah sakit jadi rumah sehat, naturalisasi , rumah lapis, dll . Cuman itu yg bisa dilakukan anies selama lima thn di dki 😂😂😂"
"Semuanya akan tergantung dari siapa pemimpinnya, jk pemimpinnya bermental preman dan menadah. Mungkin banyak pengikutnya juga yg demikian. Tp jk pemimpinnya bermental pejuang pasti banyak pengikutnya yg bermental pejuang"
"Perubahan untuk solusi berkehidupan rakyat Indonesia yang lebih baik, perubahan tata kelola negara dan sistem yang lebih baik, perubahan untuk memperbaiki dan lebih meningkatkan, sebuah perubahan untuk segera mencapai cita2 para Pahlawan Kemerdekaan dan isi UUD 1945."
@baas_alwi @andsaputraaa
OMDO..!! Sdh terbukti 5 rhn di Jakarta gak menghasilkan apa2. Masih adakah yg mau percaya sama omongannya??? 😂😂😂😂
"Niess, sudah terlalu banya jejak digitalmu bertebaran di sosmed. Tidak bisa lagi kmu bantah. Sadarlah kamu itu adalah tukang PHP."
Tenggelam kannn kerjanya cmn bisa bikin sumur resapan🤣
Heleh itu janji busuk para pejabat haus kekuasaan
"Prakteknya tidak seindah congor mu anies 🤣 sebelum bicara, bayar dulu utang kampanye 2017 ke sandiaga uno. Malu lah kau anies 🤣"
UNTA ngga mungkin jadi KIJANG meskipun berada di kebun binatang INDONESIA
Rakyat mau di apusi ???
👏
"MAU BIAYA HIDUP MURAH ??? tinggal  pulang kampung ke DESA, nikmati hidup apa adanya di kampung.  Mau PUPUK muxah di dapat ??? TINGGAL IMPOR doang. Kalo bikin pabrik pupuk susah dan lama, investor juga cuma CHINA aja yang saat ini punya duit"
"Mantap pak Anis ,semoga kepilih 👏👏👏"
Nasdem Moment yg baik menjadi tantangan ke depan y menjadi Partai yg lebih baik lagi Insha Allah Ta'allah
"#jokowi.. pak dengan sanggat hormat.. tolong nasib saudara kita UKM,, konveksi dan tempat produksi barang kita sudah banyak yang roboh ,bangkrut ,, saya pelaku konveksi kaos , saya sudah tutup total"
Mantap pak @aniesbaswedan
Anies Bawasepeda
❤️
"Perusahaan, untuk djakarta sudah cukup, jangan untuk Indonesia🇮🇩, mbah goggle terbukti bodoh nya😮😮"
Pak Anies please jangan mau dirayu2 sama tetangga ya pak.. Jgn tinggalin kita pak.. Pokonnya jangan kaya tetangga sebelah🙏🙏🙏 biar kata rumput tetangga lebih hijau.. Tp yakin deh pak... Banyak kaya semangka.. Luarnya hijau dalamnya merah. Semoga pak Anies Baswedan RI 1 2024 untuk membawa perubahan dan memberikan kesejahteraan bagi semua warga negara RI. #semangattrsya
Jadi Menteri Pendidikan aja dulu Penuh Kontroversi....sklg mau jadi Presiden
Rubah lah org keluar dari rumah sakit jadi kaya😂😂😂
Pendukunh ANISSSS WOIII DP 0% ..Taek
Hahahahahaha... perubhan opo .. basi.. itu itu aja dri dlu juga bgtu.. itu bukan perubhan t
"DP 0% udah, next bunga 0% pak 🙏😁"
Smg mendapat kemudahan dr Allah utk perubahan perbaikan pd Indonesia
Cari kerjaa gampang pakk sembako murahh bbm.muraah kesehatann mudah hukumm tajam ke atass hukum.tajam ke bawah
Ya Allah ijin kan dan takdir kan pak Anis jadi pemimpin negara Indonesia🤲
Perubahan kelebihan bayar jadi dia kali lipat 🔥
"cmn org yg pinter ngerti tentang perubahan, 😂"
Perubahan utk lebih adil utk lebih baik utk kebih terjangkau utk lbh memakmurkan seluruh rakyat
Cerdas
🔥🔥🔥
Anies & Ignasius Jonan.. 🤲🏻
Hayo kono
"sampai saat ini program2 yg dismapaikan Pak Anies mnurut saya masih  template sperti program2 kampanye pada umumnya, belum terlihat gebrakan apapun...kami tunggu trobosan2 inovatifnya Pak Anies.."
Obat buat mata Plus....apa yaaa😂
"2 x saya pilih Jokowi, sekarang saya pilih Prabowo jadi Presiden RI 2024. Amin 🙏😇"
A.N.I.S..(Agar. Negara. Indonesia. Sejahtra)❤️❤️
Tahukah kamu jika ngelike komentar ini tidak perlu tekan tombol love? Cukup tap 2x pada komentar ini
Masih bisa dipercaya Bhw Bpk Anis bisa melakukan perbaikan ekomoi msyarakt  menjadi baik
😍😍
"Cek Storyku dong kalo berani, Khusus yang 18++ Aja yaa. Pin komenku min 🥰🥰"
"Permisi kak maaf izin bertanya, saya tuh abis lahiran dan kebetulan bb saya susah banget buat turun btw ada yg tau gak yah solusinya gimana capek banget kalau mau aktivitas apapun karena punya bb berlebihan😭"
"Hebatnya Anis Baswedan :
Ijazahnya Asli
Keturunannya Jelas
Cucu dari Pahlawan Nasional
Ga Pernah : 👇 
👉 Korupsi e-KTP. 
👉 Korupsi BLBI
👉 Korupsi bansos. 
👉 Korupsi Asabri. 
👉 Makan duit rakyat. 
👉 Makan duit negara
👉 Tidak memelihara Buzzer Rp
👉 Terlibat Korupsi Trans 
👉 Tunduk Kepada Aseng dan 
Asing
👉 Jual Indosat
👉 Jual Tanker
👉 Bikin BUMN bangkrut
👉 Tunduk pada Komunis
👉 Bikin Indonesia terlilit
hutang 
👉Jual Aset negara
👉 Mau mengganti Pancasila jadi 
Ekasila dan Trisila"
Siapa yang setuju @aniesbaswedan menjadi Presiden. Ayo tunjuk tangan!
Merubah Dp rumah 0% jadi 20 %
Pak Anis ttp terbaik😍
Kuntul
Sehat selalu ya pak
Bismillah P Anies presiden RI 2024
"MasyaAlloh alhamdulillah, mantap👍👍❤"
Tetep rambut putih
Insya Allah anis menang😍
Bismillah pak Anies
Kerenn saatnya guru jadi presiden 👏👏👏
Perubahan akhlak
"NGIBULIN PRIBUMI MULU, DASAR YAMAN!"
"@aniesbaswedan  bacot besar,, kerja NOL 5 Tahun jdi Gubernur jkrt, kerja mu NoL @aniesbaswedan !!"
Mau perubahan Kesehatan terus waktu di Jakarta apa yg dikerjakan Tentang kesehatan pak ?? kJP tinggal tambah plus ?? ABBD hampir 400T juga ngebangun Puskesmas cuma  satu 🤔apalagi disuruh bangun RSUD 😶
"Perubahanya tdk masuk Akal mengada 2 ngawur blas ,kesehatan berobat ke rumah sakit gampang tdk ada yg nolak semua udah di caver bpjs dan kis dan udah banyak daerah 2 kabupaten berobat cukup ktp saja ... Masalah sembako harga stabil  dan data warga DTKS stiap bulan bansos berjalan ada pkh ada penerima manfaat.. kendaraan motor satu keluarga punya masing 2"
Lebih baik mundur secara terhormat pak @aniesbaswedan ...
Pret 😂😂🤣🤣
"Ayo kita rapatkan barisan menuju perubahan, agar rakyat sejahtera....jgn menyesal nantinya....pemimpin yg amanah telah kita miliki ayo #anisrasyidbaswedan2024"
Anies - novel bamukman top martop deh
"Ayo lakukan PERUBAHAN sesungguhnya yang abadi itu hanya perubahan didunia ini, ayo ayo ayo dong segera berubah 😂😍"
Di jkt kmrm gk terbukti dgn janji2nya....
"Kebanyakan komen buzzerrp sama semua, kalau gk komen kelebihan bayar, komen gk ada hasil kerja selama jadi gubernur Jakarta,  bapak politik identitas, 😂"
😂😂😂😂😂😂😂
Setuju pak Anies
"Saya ingin perubahan saling hujat antar peserta pemilu 2024

Itu saja......ayo bangun negeri ini bersama-sama, seperti nenek moyang kita mengusir penjajah secara bersama-sama"
"Pak anies, saya akan dukung bapak kalo bapak berani tegas sama oknum tni dan polri yang kalo di jalan minta di kasih jalan dengan bunyi kan sirine atau klakson. Emang jalan punya mereka. Kalo bapak berani tegas saya akan dukung bapak, tapi kalo gak berani berarti sama aja dengan presiden yang sekarang"
"Ini adalah contoh bagaimana kebijakan disusun berdasarkan gagasan,
Bukan sekadar kebijakan tanpa narasi,
Tanpa gagasan. Urutannya harus jelas bukan hanya karya,
Karya,
Tetapi karya yang berbasis narasi,
Narasi berbasis gagasan.
Gagasannya di sini adalah yang tadi saya sampaikan kesemakmuran, kesetaraan, keadilan sosial bagi seluruh indonesia...😂😂😂😂"
Ngga kebayang kl ini jd presiden bakan hancuuurrrr
Berangan2 aja bisanya
Semoga do'a hajat orang banyak menjadikan pak @aniesbaswedan  menjadi pemimpin yang benar di butuhkan warga @indonesia.❤️🔥
Anies mah terbaik🙌🙌 jadi Pilpres🙌🙌🙌
Kadrun 😂😂😂😂
"Gini pak Anis. Kalau gagasan Pak Anis memang bisa di implementasikan, kenapa pada saat jadi menteri pendidikan tidak diberi gagasan? Sehingga dipecat jd menteri. Kedua.. saat jadi Gubernur, berapa gagasan bapak? San berapa yg terimplementasi? Pengen tau pak...."
"Ini mah bukan calon presiden, ini calon guru tk😂😂😂😂"
Jakarta kemarin ada perubahan ga pak? 🙏🙏🙏
"Helehhh,,,,apa lg yg mau di rubah, nama² jalan kah😂😂"
Perubahan 2024 PASTI
❤️❤️❤️
"wah wah postingan tentang anies baswedan selalu jadi ladang rezeki bagi sebagian orang. yah begitulah, lumayanlah bisa dapat duit dari hasil hujatan... 😂"
Siap hukum mati koruptor dan Indonesia lunas hutang selama lima tahun saya yakin tiga priode hanya itu yang saya harapkan jika terpilih
Jadi RT saja lu gagal
"Yg sabar ya pa @aniesbaswedan .. Banyak yg buly namun lebih banyak yg cinta kepada bapak. Hiraukan saja omongan dari akun2 palsu yg membuly bapak. Karena inilah politik di #indonesia disaat waktu pemilu banyak orang2 bayaran yg sudah ditugaskan. Semoga Allah meridhoi serta melindungi calon Presiden seperti bapak @prabowo @ganjar_pranowo @aniesbaswedan .. Siapapun yg memimpin negeri ini itulah yg di Amanah kan, dan siapa yg nanti diberi Amanah mempertanggungjawabkan di Dunia dan Akhirat."
Kebanyakan omong loe nies...jakarta saja tdk ada perubahan..loe mau jd presiden urus negara 😅🤣🤣 sdhlah nies buang2 tenaga bcr2 perubahan..omong rmh DP 0% sj tdk ada hasilx smp skrg 😀😀🤣🤣🤣🤣
Semuanya khususnya kesejahteraan masyarakat seluruh rakyat Indonesia dlm berkah Rahmat lindungan pertolongan Allah SWT jadi negara super power melebihi USA sebab secara sda melimpah banyak ragamnya tanah yang subur alam indah bagaikan surgawi letak geografis yang strategis udah cukup buat Indonesia super power Singapore gak punya apa-apa bisa Indonesia jauh lebih bisa bila ditangan pemimpin yang cerdas mumpuni ilmunya berbagai bidang paham ipoleksosbudhankam geopolitik dlm luar negeri kelola negara dg baik benar dan takuuuut pengadilan akhirat
"Jangan seperti presiden dari partai PDIP semua jadi sulit ,semua sembako tinggi meroket ,harga2 menjulang ,BBM ,listrik, minyak gor, pajak, sekolah kacau pakai zona, korupsi semakin banyak , meroket ,begal, Narkoba ,banjir jakarta ,KKN ,Nepotisme ,polusi udara Jakarta salah tertinggi di dunia pembunuhan terencana semakin, banyak ini nyata sekali ."
Dulu janji Rumah DP 0 Rupiah...dan sekarang janji lagi pak Anis 😂?
semoga terjaga lurus niat engkau dan semoga Allah kuatkan engkau dengan pertolongan-Nya yang terbaik
Perubahan nama Rumah Sakit jadi Rumah Sehat 😂
Bismillah pak Anis prediden RI 2024👏🙌😍
"Pak @aniesbaswedan , mau tnya Pak... terkait Pajak, apa pandangan  Bapak terkait pendapatan Negara dari Pajak? Krna Saya dlu inget Pak Anies pernah membebaskan PBB, diskon PBB untuk warga jakarta dg kategori tertentu. Trus ad statement Pak Anies yg kurang lebih begini, ""pendapatan daerah hanya mengandalkan Pajak itu g kreatif namanya"". Jujur y Pak  pada saat covid 19 kmrn, pemerintah sempat membebaskan PPh 21 kepada pekerja, dan ini terasa banget Pak dri sisi pendapatan kami. Saya yakin lah, pembangunan Indonesia bisa berjalan hanya dari pemanfaatan kekayaan Alam saja sudah Cukup. Mohon jawaban dan pendapat nya Pak @aniesbaswedan ..."
"Bismillah...tidak akan berubah suatu kaum, jika bukan mereka sendiri yang merubahnya. Keadilan yang sejahtera dan proaktif meningkatkan kesejahteraan serta kebahagian masyarakat Indonesia yang miskin."
perubahan adalah partai pendukung nya berubah ubah pikiran
"Dengan kebersamaan, kesolidan, kekompakan dan semangat dari koalisi perubahan, Insya Allah, mendapatkan kepercayaan rakyat utk menang di Pilpres 2024. Termasuk utk para Caleg di DPR & DPRD.  Isu adanya partai koalisi yang berkhianat agar dibuktikan itu Hoax dan tidak benar."
Sapa yg bilang sulit mendapatkan pupuk?? Di Grobogan langsung kena skak Sama bupati Grobogan langsung dan harga apa yg mahal
"Yang penting pas udah menjabat jangan lupa sama yang pernah diomongin pak,kalo perlu dicatat disimpen di dindin kamar🙏🏻"
"Perubahan yg dlu gak kenal politik, yg dlu sbg pendidik, cendekiawan dan skrg sdah masuk dlam dunia politik... Sya suka pak anies yg dlu.. Diwaktu menjdi moderator debat presiden.. Mksih pak anis.  Mengajarkan sya jgn mudah  mengidolakan seseorg, krna idola bisa berubah pikiran..."
Capres retorika 😂
Semoga Allah ta'alaa beri kemudahan bpk Anies... Aamiin allaahumma aamiin
Suka
"Mau merubah nama"" jalan seluruh Indonesia pak😂😂😂"
17% hasil survei itu adalah orang-orang yg masih bisa dibius oleh mulut manis
TDK ADA PERUBAHAN BILA BANSOS DI TIMBUN SAMPAI MEMBUSUK.
Ga ada pembangunan yg berarti di jakarta sejak dipimpin nih orang. Sungai2 pada kotor. Jalur busway ga bertambah. Persoalan Kemacetan ga di sentuh. Yg dibangun cm trotoar dan jembatan2 dengan narasi2 yg membanggongkan. Haff.
Pak anis jngam mau kolab sm ganjar bpk punya pendukung lebih banyak dari pada sirambut putih...pak anis sulawesi😍
Begitu jd tapi kenyatan nya ga berubah² tetep aje ga ada perubahan kasihan para pendukungnya 😂
Itu bukan perubahan tapi koreksi😂
Jakarta aja kau urus gak becus..
ngibul
"Nasdem blunder pilih capres wkwkk 2024 nasdem tenggelam apaan perubahan 🤣🤣🤣 koalisi abal"""
🔥🔥
Capres nyungsep🤭🤭🤭
Cuihhh
KOALISI GADUH SENDIRI. HAJI DIKONTENIN. DRAMA DIJEGAL LAH. DLL. KALAU MAU BENAHI NEGERI ITU TIDAK HANYA PANDAI MENIPU. KALAU TIDAK MAU DIKENANG SEBAGAI BAPAK PENIPU NASIONAL
Perubahan adalah koalisi 8 triliun dan @aniesbaswedan yg goblok😂😂😂😂
MasyaAllah tabark'allah
"5 tahun ngak buat apa untuk wong cilik,, 1 puskesmas pun tidak ada terbangun. Masih aja nge ngeclaim bisa kerja 😂"
"Saya dukung pak Anies,cuma ada pertanyaan...pertama apa sikap  pak Anies dengan merebaknya kaum LGBT di negara kita,kedua apa tindakan pak Anies bila menemukan  kasus korupsi meskipun itu dari orang terdekat pak Anies....tolong dijawab biar lebih mantap"
Monas pun selama dia mnjabat di rubah kok..pohon² mahoni di sekitaran Monas di tebang ...patung bambu yg kata nya ga mau import tapi nyatanya import dri cina bahkan habis ratusan juta ujung² nya di BONGKAR ....trotoar warna warni..lem Aibon nyame ratusan juta ....pak Jokowi hutang untuk negara bangun jalan agar semua transportsmtasi smkin mudah dan semua itu sudh diperhitungkan utang tapi ada hasil ........dri pada hutang proyek² pada mngkrak uang masuk saku para pejabat kita juga yg merasakan bayar pajak buat lunasin uang yg di korup ....harusnya pada mikir apa yg harus di rubah...yg di rubah itu pola pikir anda para pendukung Anis.....
👍
👏👏👏👏🔥🔥
Saya dukung pak anies jadi presiden 2045
#indonesiaharusbersamaorangbaik ✋🇮🇩
Saya warga DKI bangga kepada bapak Anis Rasyid baswedan
Insyaa Allah pak Anies 2024
❤️❤️❤️❤️
Bismillah pak Anies RI 2024
"Sehat² pak anis. Semoga bisa jadi presiden selanjutnya di 2024. Tolong rawat demokrasi negara kita. Tolong sejahterakan rakyat miskin, sejahterakan masyarakat Indonesia. Tolong sejahterakan buruh. Dan rawat kembali keadilan."
❤️
SAMPAI BOTAK KELAPA TETAP SAYA TIDAK AKAN PILIH INTOLERAN TUKANG NGIBUL
Katamu seperti clocedmu 😂😂
gak suka sm partai yg mengusung maaf pak
Ayo .... bangkit
🙏🏻👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽
#2024aniespresiden🇲🇨
stujuuuu
"Anies gagasan, perubah, itu l2 terus lu niess bicara tapi kaga ada langkah2nya atau konsepnya. 😂 dsr p3mbual"
"Setiap periode kepemimpinan itu harus ada perubahan inovatif, tanpa ada perubahan Inovatif berarti pasif hanya YESMANut"
Dizaman soeharto sdh pernah koq dilakukan perubahan perbaikan kemajuan utk rakyat yg masih miskin yg masih ga punya duit sebanyak itu..ketika beliau mulai dirusak oleh oligarki internasional disitulah awalnya yg pada akhirnya oligarki abal abal tokoh chino ga beres ga ada urusan tai kucing..mulai ikut ikutan memengaruhi seperti dulu ada yg namanya bank swasta bikinan alias yg punya swasta chino yg anaknya bermasalah dinegeri ini...ini yg hrs dicari dikepung sampai mati...faham
Kita mau keluar dari kesulitan dari kerangkeng dinegara sendiri srta kita mau berdaulat
Bismillah Anies presiden RI bahagia sejahtera rakyat nya
.
😂
"Bismillah Indonesia bersama Pa Anies Baswedan Presiden Indonesia 2024, In Sha Allah bersm Pa Anies Baswedan 2024 berubah menjadi Indonesia yang Adil Makmur dan Sejahtera, Aamiin Yaa Rabbal""alamiin ❤️❤️"
"It,s ttime  partai nasdem, restorasi indonisia, nasdem bersama rakyat 👍👍👍 nasdem hebat"
ANIES pilihan rakyat
ANIES presiden 2024
Bersama pemimpin yg baik untuk indonisia lebih baik
Tak segampang buat lobang di jalanan
Tetap memilih pak Anis Baswedan presiden RI
Jadi ingat orasi gubernur jakarta yg bilang kalau banjir jakarta bisa diatasi kalau dia jadi presiden 😂
Wong ruwet
"Srlalu jawabannya general bgt "" NGAMBANG"" , jelasin dong ngapain aja untuk mencapai itu, kalo cmn pengen sih anak tk juga pengen permen gratis 😂😂😂😂😂😂 , cetek sekali yg gini didukung 🤮🤮"
🔥🔥🔥
JANGAN LUPA KESEHATAN DENGAN DR LASER
Hidup pak Anis Baswedan
Perubahan itu kalo mendapatkan hadiah umroh tidak diubah dengan yang lain👏😂
senator armstrong
PERUBAHAN...BANYAK HAL YG PERLU DIRUBAH...
Perubahan? Apa yang mau dirubah pak?😂
"Iya Pak di buku pun begitu harus ada prubahan agar bisa lebih baik, tapi apa yg berubah, bagaimana merubahnya berpa persen keberhasilan perubahanya yakin bisa berubah 😂"
Waduh buzer nya banyak amat
Bismillah 💛 ROBBANA THOHIR QOLBI BERSIHKAN SUCIKAN HATI KAMI YA ALLAH TUHANKU AAMIIN 💛 QS Ar Rad 11 Perubahan sebuah BANGSA HANYA BISA DI RUBAH OLEH BANGSA ITU SENDIRI 💛🙏💛. JANGAN MELAWAN FIRMAN ALLAH TUHANKU.jadi Jelas SANGAT JELAS INDONESIA TERCINTA BISA BERUBAH JIKA DI PIMPIN OLEH BANGSA RAKYAT INDONESIA TERCINTA PRIBUMI NUSANTARA ASLI 💛 BUKAN OLEH KAUM BANGSA LAIN 💛 mau melawan hukum FIRMAN ALLAH TUHANKU.????? SILAHKAN MENJADI KAUM MUNAFIKUN QS AN NUR 46 49.MEREKA HANYA MEMAKAI AYAT AYAT YANG COCOK DENGAN NAFSUNYA SENDIRI KLOMPOK NYA (YANG GA COCOK GA DI PAKAI) NSUDZUBILLAH TZUMA NAUZUBILLAH
Lo pikir gue percaya gitu????!!!😂😂😂😂😂
"1 kata anis baswrda 24 ds ,RI"
"Perubahan : Apa yg perlu di tingkatkan, apa yg di tambahkan, apa yg perlu di koreksi dn apa yg perlu di HENTIKAN bila mana itu tdk menciptakan unsur keadilan 💪 Bismillah, Biiznillah #AniesPresidentRI2024🇮🇩"
No Anies no party ❤️‍🔥❤️‍🔥❤️‍🔥
"Indonesia ini sudah punya segalanya,saatnya kita semua bekerja untuk Indonesia."
sama kek rumah sakit jadi rumah sehat.... dsb dsb.... 😂😂😂
Prettt sama tukang bacot and tukang ngibul ... selama memimpin terkenal krn kegagalannya... hahaha ... pilihlah yg jelas bukan yg edan ...
MASYA ALLAH TABARAKALLAH UNTUK SEMUA PARA PENDUKUNG PERUBAHAN MENUJU INDONESIA LEBIH MAKMUR MAJU DAN BERMARTABAT AYO JADILAH BAGIAN DARI PERUBAHAN UNTUK INDONESIA.
Rubah namanya gitu aja kok repot....
klo di mbah google dan kamus.. Perubahan adalah proses yang wajar dan alamiah sehingga segala sesuatu yang ada di dunia ini akan selalu berubah.
"Pemerataan pembangunan untuk kepuluan, terutama di kepulauan sumenep Pak"
"KALO SAYA PENGEN UNDANG2 KORUPTOP ,TENTANG  MALING  DI INDONESIA KITA INI SEGERA DI SAHKAN PAK , SAYA PENGEN MALING2 DI NEGARA KITA HARUS DI MISKINKAN PAK , SAYA DUKUNG BAPAK JADI PRESIDEN PAK , SEMANGAT PAK , SAHKAN UU PERAMPASAN ASET PAK @aniesbaswedan 🔥🔥"
Bismillah semoga 2024 ada perubahan
"Pak klo bapak jadi presiden,tolong buatkan kincir angin di jabodetabek untuk mengurangi polusi udara pak"
Takut cmn d janjiin DP 0 % 😂😂😂😂 giliran jd emang janjinya apa yah????
Nasib guru TK lebih di perhatikan lagi pak
"Saya ingin perubahan  krn hidup makin sulit  saya jg ingin negara ini maju, aman damai tdk spt sekarang"
kang lawak wkwkw
Pak Anis akan selamatkan Rakyat dari kerakusan Oligarki..
Saya  enar
Pilihanku yg tepat ARB AHY. Mantaaap.
#aniesforpresidenri2024
Ga ngerti
Hahahahhahaa
BUZZER PASTI AKAN RAMAI KLO PAK ANIES BICARA TTG VISI MISINYA ATAU FAKTA YG SDH DILAKUKAN😂😂 DGN MAKSUT UTK MENJATUHKAN . SELALU BGTU. HABS GELARAN FORMULA E  2HR KEMUDIAN TURUN SURVEY PENURUNAN ELEKTABILITAS. HBS PAK ANIES NAIK HAJI BBRP HR KMDN KELUAR LG  SURVEY SEMAKIN MENURUN. HBS APEL SIAGA NASDEM DI GBK 3 HR KMD KELUAR LAGI SURVEY ANIES SEMAKIN MENURUN TAJAM😂😂😂. POKOKNYA KLO HBS KEGIATAN ATAU ADA FRAMING TTG KESUKSESAN PAK ANIES NGGA LAMA PASTI KELUAR TUH SURVEY..BERUSAHA BANGET MENDOWN GRADE ..WKWKWK
"Halah, cuma cakap, caranya donk. BPJS aja ente ga paham tp bicara sulit berobat 😂"
🔥🔥🔥👏👏
"Kita butuh perubahan pak, bukan per ubanan ehhh"
"Lawan dari perubahan adalah status que dan perubahan harus menuju arah ke lebih baik, karena perubahan tanpa arah lebih baik akan sia sia, untuk menuju perubahan yang lebih baik harus ada rencana kalau didalam islam adalah niat dan diucapkan didalam hati."
"Bulsittt😂, model begini SDM rendah pasti milih aniss"
"Kalau kita ingin tahu kondisi jakarta sejak dipegang anies kalian harus pergi ke Jakarta dan lihat hasilnya bukan hanya info dari pembenci anies, youtuber youtuber dari Malaysia saja banyak yang kagum dengan perubahan dan pembenahan, sekarang saya sedang memperhatikan dan melihat bagaimana youtuber youtuber dari negara asing melihat perkembangan khusus di Jakarta, karena jakarta adalah ibukota dan jakarta adalah cermin pembangunan di Indonesia walaupun Indonesia itu luas tetapi maju dan tidaknya suatu negara ibukota negara adalah cermin dari kondisi negara tersebut."
"konsep keberlanjutan adalah sesuatj yg dungu.masa iya mau dalam.keadaan yg sama terus,itukan pemikiran orang dungu."
Carax pak?
Utamakan penc
Utamakan pencitraan dari pada pekerjaan 😂😂
Pak @aniesbaswedan jika jadi presiden harun masiku bakal di kejar kan!
😂
"Perubahan untuk rakyat yg berekonomi kecil menjadi nyaman dan tidak sulit mencari nafkah pak,,🙏"
"Smga Allah meridhoi smua program2 pak Anis, sht trus bapak presiden 2024"
Semoga pak Anies di mudakan jadi presiden 2024_2029aamin +aamin ya Robbalallamin
Ga usah nyalon
"Perubahan : Menjadi Tuan Rumah di Negara Sendiri, Perubahan : Menyehatkan Negara yg Sakit Ini, Perubahan : Benar2 Menjadi Kaya Di Negara yg Sebenarny Memang Kaya Akan Sumber Daya Alam, Perubahan : Bersihkan Negara Ini dari Mafia Nd Para Koruptor 🔥🔥🔥🔥🔥"
Caranya mau berubag gimana nies ? Langkah2nya apa ? Dasar tukang PHP ni yamanies 🤣
"Yg saya ingin sekarang cuma perbaiki HUKUM kita itu aja, induk semua perubahan, klau yg bersalah cuma di hukum ringan siapa yg bakal kapok?"
KAMI BUTUH PERUBAHAN PAK🫡
Perubahan -> banjir = parkir air
